X,Y,Z,Classification,NumberOfReturns,ReturnNumber,Intensity
276590.08,1557996.71,221.88,5,1,1,32
276589.58,1557996.51,222.11,5,1,1,27
276588.94,1557996.22,221.82,5,1,1,25
276588.52,1557996.07,222.28,5,1,1,40
276588.03,1557995.88,222.47,5,1,1,27
276583.98,1557994.26,224.09,5,1,1,31
276583.62,1557994.12,224.40,5,1,1,33
276583.11,1557993.90,224.22,5,1,1,26
276578.84,1557992.02,222.23,2,1,1,31
276577.47,1557991.44,222.21,2,1,1,32
276576.87,1557991.19,222.29,2,1,1,33
276575.81,1557990.76,222.52,2,1,1,35
276574.92,1557990.40,222.72,2,1,1,32
276574.52,1557990.23,222.78,2,1,1,32
276573.85,1557989.95,222.85,2,1,1,26
276573.72,1557989.90,222.91,2,1,1,28
276573.37,1557989.75,222.96,2,1,1,32
276572.84,1557989.53,223.03,2,1,1,33
276574.73,1557990.29,222.74,2,1,1,33
276574.93,1557990.37,222.71,2,1,1,28
276575.35,1557990.54,222.61,2,1,1,35
276575.58,1557990.63,222.59,2,1,1,30
276577.63,1557991.46,222.20,2,1,1,27
276583.38,1557993.95,224.29,5,1,1,26
276583.77,1557994.11,224.20,5,1,1,37
276588.24,1557995.88,222.32,5,1,1,31
276588.69,1557996.05,222.15,5,1,1,35
276589.06,1557996.19,221.72,5,1,1,33
276589.66,1557996.45,222.04,5,1,1,24
276590.16,1557996.66,222.00,5,1,1,33
276590.56,1557996.80,221.61,5,1,1,25
276591.30,1557997.06,220.57,5,1,1,33
276591.65,1557997.18,219.94,5,1,1,37
276592.56,1557997.53,219.35,5,1,1,27
276593.07,1557997.73,219.21,5,1,1,16
276595.25,1557998.90,224.67,5,1,1,17
276596.35,1557999.45,226.47,5,1,1,22
276596.88,1557999.67,226.38,5,1,1,24
276597.42,1557999.89,226.29,5,1,1,22
276596.98,1557999.44,220.89,5,2,1,11
276595.95,1557998.85,217.43,5,2,2,8
276597.86,1557999.86,221.92,5,1,1,18
276598.21,1557999.97,221.13,5,1,1,25
276601.51,1557999.72,213.65,5,1,1,30
276601.44,1557999.91,218.25,5,2,1,7
276601.08,1557999.81,219.39,5,2,1,16
276599.54,1557998.92,214.08,5,2,2,3
276600.88,1557999.81,221.03,5,1,1,15
276600.50,1557999.70,222.05,5,1,1,21
276599.21,1557999.06,219.95,5,1,1,12
276599.28,1557999.20,222.44,5,2,1,19
276598.17,1557998.56,218.66,5,2,2,3
276597.76,1557998.43,219.54,5,1,1,18
276597.41,1557998.33,220.57,5,2,1,12
276596.28,1557997.68,216.76,5,2,2,9
276598.18,1557998.89,225.41,5,1,1,21
276597.52,1557998.61,225.34,5,1,1,24
276597.10,1557998.47,226.06,5,1,1,25
276595.99,1557997.92,224.44,5,1,1,21
276595.34,1557997.65,224.37,5,1,1,16
276593.85,1557996.89,221.43,5,1,1,14
